date,time,action,option,strike,premium,quantity,commission,pnl,reason
2026-01-08,09:30,买入开仓,put_2026-01-08,3.29,0.1046,1,5.0,0.0,开盘看跌
2026-01-08,14:45,卖出平仓,put_2026-01-08,3.29,0.1066,1,5.0,-24.380224412216123,日终清仓
2026-01-09,09:30,买入开仓,put_2026-01-09,3.27,0.105,1,5.0,0.0,开盘看跌
2026-01-09,14:00,卖出平仓,put_2026-01-09,3.27,0.1286,1,5.0,-241.2782066855261,反手平仓
2026-01-09,14:00,买入开仓,call_2026-01-09_rev,3.31,0.1078,1,5.0,0.0,反手开仓
2026-01-09,14:45,卖出平仓,call_2026-01-09,3.31,0.1078,1,5.0,-5.0,日终清仓
2026-01-15,09:30,买入开仓,put_2026-01-15,3.31,0.1077,1,5.0,0.0,开盘看跌
2026-01-15,14:00,卖出平仓,put_2026-01-15,3.31,0.1287,1,5.0,-214.9335906877088,反手平仓
2026-01-15,14:00,买入开仓,call_2026-01-15_rev,3.35,0.1081,1,5.0,0.0,反手开仓
2026-01-15,14:45,卖出平仓,call_2026-01-15,3.35,0.1081,1,5.0,-5.0,日终清仓
2026-01-16,09:30,买入开仓,call_2026-01-16,3.38,0.109,1,5.0,0.0,开盘看涨
2026-01-16,14:00,卖出平仓,call_2026-01-16,3.38,0.1253,1,5.0,157.39723273466788,反手平仓
2026-01-16,14:00,买入开仓,put_2026-01-16_rev,3.35,0.109,1,5.0,0.0,反手开仓
2026-01-16,14:45,卖出平仓,put_2026-01-16,3.35,0.109,1,5.0,-5.0,日终清仓
2026-01-19,09:30,买入开仓,put_2026-01-19,3.33,0.1078,1,5.0,0.0,开盘看跌
2026-01-19,14:45,卖出平仓,put_2026-01-19,3.33,0.1123,1,5.0,-49.476107769351735,日终清仓
2026-01-21,09:30,买入开仓,put_2026-01-21,3.24,0.1021,1,5.0,0.0,开盘看跌
2026-01-21,14:00,卖出平仓,put_2026-01-21,3.24,0.1259,1,5.0,-243.29886901257717,反手平仓
2026-01-21,14:00,买入开仓,call_2026-01-21_rev,3.28,0.1053,1,5.0,0.0,反手开仓
2026-01-21,14:45,卖出平仓,call_2026-01-21,3.28,0.1053,1,5.0,-5.0,日终清仓
2026-01-22,09:30,买入开仓,call_2026-01-22,3.3,0.1044,1,5.0,0.0,开盘看涨
2026-01-22,14:30,卖出开仓,hedge_call_3.48_2026-01-22,3.48,0.0282,1,5.0,0.0,盈利8.5%→对冲
2026-01-22,14:45,卖出平仓,call_2026-01-22,3.3,0.1133,1,5.0,84.19637410369593,日终清仓
2026-01-22,14:45,买入平仓,hedge_call_3.48_2026-01-22,3.48,0.0,1,5.0,277.2880100054914,14:45 强平
2026-02-03,09:30,买入开仓,call_2026-02-03,3.3,0.0813,1,5.0,0.0,开盘看涨
2026-02-03,14:30,卖出开仓,hedge_call_3.48_2026-02-03,3.48,0.0136,1,5.0,0.0,盈利7.1%→对冲
2026-02-03,14:45,卖出平仓,call_2026-02-03,3.3,0.087,1,5.0,52.84926759217559,日终清仓
2026-02-03,14:45,买入平仓,hedge_call_3.48_2026-02-03,3.48,0.0,1,5.0,131.24189413396093,14:45 强平
2026-02-04,09:30,买入开仓,put_2026-02-04,3.29,0.0849,1,5.0,0.0,开盘看跌
2026-02-04,14:45,卖出平仓,put_2026-02-04,3.29,0.0816,1,5.0,28.568244471657295,日终清仓
2026-02-05,09:30,买入开仓,put_2026-02-05,3.26,0.0818,1,5.0,0.0,开盘看跌
2026-02-05,14:45,卖出平仓,put_2026-02-05,3.26,0.0949,1,5.0,-135.82958677226614,日终清仓
2026-02-06,09:30,买入开仓,put_2026-02-06,3.21,0.0854,1,5.0,0.0,开盘看跌
2026-02-06,14:00,卖出平仓,put_2026-02-06,3.21,0.0955,1,5.0,-105.66775932840139,反手平仓
2026-02-06,14:00,买入开仓,call_2026-02-06_rev,3.23,0.0854,1,5.0,0.0,反手开仓
2026-02-06,14:45,卖出平仓,call_2026-02-06,3.23,0.0854,1,5.0,-5.0,日终清仓
2026-02-09,09:30,买入开仓,call_2026-02-09,3.29,0.0818,1,5.0,0.0,开盘看涨
2026-02-09,14:30,卖出开仓,hedge_call_3.49_2026-02-09,3.49,0.0148,1,5.0,0.0,盈利21.8%→对冲
2026-02-09,14:45,卖出平仓,call_2026-02-09,3.29,0.0996,1,5.0,172.90689004209005,日终清仓
2026-02-09,14:45,买入平仓,hedge_call_3.49_2026-02-09,3.49,0.0,1,5.0,143.38424196377474,14:45 强平
2026-02-24,09:30,买入开仓,call_2026-02-24,3.32,0.0948,1,5.0,0.0,开盘看涨
2026-02-24,14:00,卖出平仓,call_2026-02-24,3.32,0.1084,1,5.0,131.55322159557213,反手平仓
2026-02-24,14:00,买入开仓,put_2026-02-24_rev,3.3,0.0977,1,5.0,0.0,反手开仓
2026-02-24,14:45,卖出平仓,put_2026-02-24,3.3,0.0977,1,5.0,-5.0,日终清仓
2026-02-27,09:30,买入开仓,put_2026-02-27,3.31,0.0944,1,5.0,0.0,开盘看跌
2026-02-27,14:45,卖出平仓,put_2026-02-27,3.31,0.0988,1,5.0,-49.30498266400712,日终清仓
2026-03-02,09:30,买入开仓,put_2026-03-02,3.25,0.0929,1,5.0,0.0,开盘看跌
2026-03-02,14:00,卖出平仓,put_2026-03-02,3.25,0.1107,1,5.0,-182.73140168856574,反手平仓
2026-03-02,14:00,买入开仓,call_2026-03-02_rev,3.28,0.0953,1,5.0,0.0,反手开仓
2026-03-02,14:45,卖出平仓,call_2026-03-02,3.28,0.0953,1,5.0,-5.0,日终清仓
2026-03-03,09:30,买入开仓,call_2026-03-03,3.3,0.0957,1,5.0,0.0,开盘看涨
2026-03-03,14:00,卖出平仓,call_2026-03-03,3.3,0.1478,1,5.0,515.9188209358559,反手平仓
2026-03-03,14:00,买入开仓,put_2026-03-03_rev,3.2,0.0889,1,5.0,0.0,反手开仓
2026-03-03,14:45,卖出平仓,put_2026-03-03,3.2,0.0889,1,5.0,-5.0,日终清仓
2026-03-04,09:30,买入开仓,put_2026-03-04,3.17,0.0954,1,5.0,0.0,开盘看跌
2026-03-04,14:45,卖出平仓,put_2026-03-04,3.17,0.1034,1,5.0,-84.5566095046886,日终清仓
2026-03-05,09:30,买入开仓,call_2026-03-05,3.22,0.0968,1,5.0,0.0,开盘看涨
2026-03-05,14:45,卖出平仓,call_2026-03-05,3.22,0.0918,1,5.0,-54.98696885423648,日终清仓
2026-03-09,09:30,买入开仓,put_2026-03-09,3.18,0.098,1,5.0,0.0,开盘看跌
2026-03-09,14:00,卖出平仓,put_2026-03-09,3.18,0.1106,1,5.0,-130.99406830160518,反手平仓
2026-03-09,14:00,买入开仓,call_2026-03-09_rev,3.2,0.1005,1,5.0,0.0,反手开仓
2026-03-09,14:45,卖出平仓,call_2026-03-09,3.2,0.1005,1,5.0,-5.0,日终清仓
2026-03-10,09:30,买入开仓,call_2026-03-10,3.27,0.0949,1,5.0,0.0,开盘看涨
2026-03-10,14:30,卖出开仓,hedge_call_3.46_2026-03-10,3.46,0.0232,1,5.0,0.0,盈利16.3%→对冲
2026-03-10,14:45,卖出平仓,call_2026-03-10,3.27,0.1104,1,5.0,149.4276234418872,日终清仓
2026-03-10,14:45,买入平仓,hedge_call_3.46_2026-03-10,3.46,0.0,1,5.0,227.0776208044078,14:45 强平
2026-03-13,09:30,买入开仓,put_2026-03-13,3.29,0.1012,1,5.0,0.0,开盘看跌
2026-03-13,14:45,卖出平仓,put_2026-03-13,3.29,0.0965,1,5.0,42.57823389875529,日终清仓
2026-03-17,09:30,买入开仓,call_2026-03-17,3.37,0.0965,1,5.0,0.0,开盘看涨
2026-03-17,14:00,卖出平仓,call_2026-03-17,3.37,0.1517,1,5.0,547.026650863866,反手平仓
2026-03-17,14:00,买入开仓,put_2026-03-17_rev,3.27,0.0927,1,5.0,0.0,反手开仓
2026-03-17,14:45,卖出平仓,put_2026-03-17,3.27,0.0927,1,5.0,-5.0,日终清仓
2026-03-18,09:30,买入开仓,call_2026-03-18,3.29,0.1021,1,5.0,0.0,开盘看涨
2026-03-18,14:30,卖出开仓,hedge_call_3.5_2026-03-18,3.5,0.0265,1,5.0,0.0,盈利24.4%→对冲
2026-03-18,14:45,卖出平仓,call_2026-03-18,3.29,0.127,1,5.0,244.30475177418296,日终清仓
2026-03-18,14:45,买入平仓,hedge_call_3.5_2026-03-18,3.5,0.0,1,5.0,259.5017635274088,14:45 强平
2026-03-19,09:30,买入开仓,put_2026-03-19,3.3,0.1049,1,5.0,0.0,开盘看跌
2026-03-19,14:45,卖出平仓,put_2026-03-19,3.3,0.102,1,5.0,23.997844090709325,日终清仓
2026-03-20,09:30,买入开仓,call_2026-03-20,3.34,0.1025,1,5.0,0.0,开盘看涨
2026-03-20,14:45,卖出平仓,call_2026-03-20,3.34,0.1046,1,5.0,15.521007709731474,日终清仓
2026-03-23,09:30,买入开仓,put_2026-03-23,3.3,0.101,1,5.0,0.0,开盘看跌
2026-03-23,14:45,卖出平仓,put_2026-03-23,3.3,0.1399,1,5.0,-394.05814780413203,日终清仓
2026-03-24,09:30,买入开仓,call_2026-03-24,3.28,0.1089,1,5.0,0.0,开盘看涨
2026-03-24,14:00,卖出平仓,call_2026-03-24,3.28,0.1335,1,5.0,241.05747385202866,反手平仓
2026-03-24,14:00,买入开仓,put_2026-03-24_rev,3.24,0.1116,1,5.0,0.0,反手开仓
2026-03-24,14:45,卖出平仓,put_2026-03-24,3.24,0.1116,1,5.0,-5.0,日终清仓
2026-03-25,09:30,买入开仓,call_2026-03-25,3.28,0.1086,1,5.0,0.0,开盘看涨
2026-03-25,14:30,卖出开仓,hedge_call_3.47_2026-03-25,3.47,0.0312,1,5.0,0.0,盈利13.8%→对冲
2026-03-25,14:45,卖出平仓,call_2026-03-25,3.28,0.1235,1,5.0,144.62561382699982,日终清仓
2026-03-25,14:45,买入平仓,hedge_call_3.47_2026-03-25,3.47,0.0,1,5.0,307.15239102417434,14:45 强平
2026-03-27,09:30,买入开仓,put_2026-03-27,3.24,0.1128,1,5.0,0.0,开盘看跌
2026-03-27,14:00,卖出平仓,put_2026-03-27,3.24,0.1426,1,5.0,-302.943368166666,反手平仓
2026-03-27,14:00,买入开仓,call_2026-03-27_rev,3.29,0.1166,1,5.0,0.0,反手开仓
2026-03-27,14:45,卖出平仓,call_2026-03-27,3.29,0.1166,1,5.0,-5.0,日终清仓
2026-03-30,09:30,买入开仓,put_2026-03-30,3.24,0.1128,1,5.0,0.0,开盘看跌
2026-03-30,14:00,卖出平仓,put_2026-03-30,3.24,0.1266,1,5.0,-142.55796235818198,反手平仓
2026-03-30,14:00,买入开仓,call_2026-03-30_rev,3.26,0.1165,1,5.0,0.0,反手开仓
2026-03-30,14:45,卖出平仓,call_2026-03-30,3.26,0.1165,1,5.0,-5.0,日终清仓
